Gen	Col	A	B	NumActs1	NumActs2	WorkAlloc1	WorkAlloc2	Idle	Fitness	Mean_F	Mean_F_franjo
2	16	0.5	0.5	4058	4096	40.6078	43.098		0	2090.57	0.105797	0.552898
2	17	0.5	0.5	4147	4007	42.1961	40.3137		0	2063.04	0.0752908	0.537645
2	18	0.5	0.5	4189	4011	43.9804	39.8824		0	2090.99	0.0843946	0.542197
2	19	0.5	0.5	3968	4155	42.5686	40.2941		0	2072.73	0.0850047	0.542502
2	20	0.5	0.5	4131	4084	40.2157	43.2157		0	2086.35	0.0533502	0.526675
2	21	0.5	0.5	4070	4071	42.2745	40.8431		0	2077.14	0.0235853	0.511793
2	22	0.5	0.5	4167	4077	41.7255	42.5882		0	2107.84	0.0700941	0.535047
2	23	0.5	0.5	3994	4207	39.7059	43.7059		0	2082.7	0.036606	0.518303
2	24	0.5	0.5	3882	4293	37.5098	46.098		0	2079.29	0.0411587	0.520579
2	25	0.5	0.5	4000	4187	40.7255	42.4118		0	2077.67	0.0451843	0.522592
2	26	0.5	0.5	4099	4012	39.0392	43.9216		0	2072.29	0.0767744	0.538387
2	27	0.5	0.5	4043	4101	43.0784	40		0	2071.78	0.104551	0.552276
2	28	0.5	0.5	3846	4352	38.7255	44.902		0	2088.72	0.0634384	0.531719
2	29	0.5	0.5	4162	4007	43.902	38.902		0	2069.35	0.0835419	0.541771
2	30	0.5	0.5	4253	3924	42.7451	40.4314		0	2078.37	0.0284527	0.514226
2	31	0.5	0.5	3999	4196	40.8039	42.5686		0	2083.67	0.0746972	0.537349
2	32	0.5	0.5	4164	3959	41.9412	40.7451		0	2065.35	0.0686814	0.534341
2	33	0.5	0.5	4174	4010	43.4902	40.1373		0	2087.91	0.0334335	0.516717
2	34	0.5	0.5	4061	4150	40.1373	44.0392		0	2102.33	0.0533197	0.52666
2	35	0.5	0.5	4040	4105	40.2353	42.9608		0	2078.65	0.0343001	0.51715
2	36	0.5	0.5	4176	4008	43.4706	40.3333		0	2093.43	0.0701187	0.535059
2	37	0.5	0.5	4004	4136	40.4706	42.3333		0	2067.4	0.0441008	0.52205
2	38	0.5	0.5	4183	3990	42.0392	41.549		0	2090	0.0947062	0.547353
2	39	0.5	0.5	4036	4102	39.8039	42.8824		0	2065.64	0.0368083	0.518404
2	40	0.5	0.5	3920	4241	38.4902	44.8431		0	2078.54	0.0607542	0.530377
2	41	0.5	0.5	3993	4134	40.3529	42.902		0	2080.16	0.0886694	0.544335
2	42	0.5	0.5	4151	4071	42.5882	41.2549		0	2097.84	0.0458259	0.522913
2	43	0.5	0.5	4203	3993	41.4314	41.3529		0	2071	0.030958	0.515479
2	44	0.5	0.5	4110	4026	43.098	40.1569		0	2076.5	0.0757196	0.53786
2	45	0.5	0.5	4136	4024	39.2353	44.2157		0	2083.01	0.0118375	0.505919
2	46	0.5	0.5	4117	4045	40.9412	42.1373		0	2075.26	0.100507	0.550254
2	47	0.5	0.5	4148	4041	43.9216	39.5686		0	2084.63	0.0696152	0.534808
2	48	0.5	0.5	3945	4239	41.5294	41.3529		0	2074.5	0.0896308	0.544815
2	49	0.5	0.5	3935	4243	42.3725	41.5098		0	2096.36	0.0377733	0.518887
2	50	0.5	0.5	4248	3904	46.7451	36.3333		0	2058.96	0.0525033	0.526252
2	51	0.5	0.5	4084	4051	44.3529	38.9608		0	2077.49	0.0830609	0.54153
2	52	0.5	0.5	4201	3947	41.6667	41.4118		0	2078.98	0.0325734	0.516287
